. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA2_aln1_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	15   	-6194.27421	Yes        	4        	0.666    	0.176    	 0.25160   0.21258   0.33536   0.20046	-1.05351   0.21070   0.78665   0.05616  
      	     	          	           	          	           	             	                                      	 0.24937  -1.16299   0.28092   0.63269  
      	     	          	           	          	           	             	                                      	 0.59017   0.17807  -0.88968   0.12144  
      	     	          	           	          	           	             	                                      	 0.07049   0.67093   0.20316  -0.94457  
  #17	15   	-6152.76623	Yes        	4        	0.652    	0.164    	 0.24392   0.23764   0.33508   0.18336	-1.13376   0.19216   0.88095   0.06065  
      	     	          	           	          	           	             	                                      	 0.19724  -0.97439   0.17478   0.60237  
      	     	          	           	          	           	             	                                      	 0.64127   0.12395  -0.88095   0.11572  
      	     	          	           	          	           	             	                                      	 0.08068   0.78066   0.21147  -1.07281  
  #18	15   	-6488.36223	Yes        	4        	0.546    	0.069    	 0.26961   0.20332   0.30767   0.21939	-0.97971   0.22106   0.73087   0.02778  
      	     	          	           	          	           	             	                                      	 0.29313  -1.32603   0.25149   0.78140  
      	     	          	           	          	           	             	                                      	 0.64045   0.16620  -0.89066   0.08401  
      	     	          	           	          	           	             	                                      	 0.03414   0.72417   0.11782  -0.87613  
  #19	15   	-6142.93293	Yes        	4        	0.622    	0.123    	 0.25370   0.22991   0.32822   0.18817	-1.18119   0.20400   0.91099   0.06620  
      	     	          	           	          	           	             	                                      	 0.22511  -1.00535   0.21390   0.56634  
      	     	          	           	          	           	             	                                      	 0.70414   0.14983  -0.91780   0.06383  
      	     	          	           	          	           	             	                                      	 0.08925   0.69196   0.11134  -0.89255  
  #20	15   	-5902.43999	Yes        	4        	0.589    	0.162    	 0.25871   0.23136   0.30860   0.20133	-1.04653   0.21350   0.79710   0.03593  
      	     	          	           	          	           	             	                                      	 0.23874  -1.05742   0.19382   0.62486  
      	     	          	           	          	           	             	                                      	 0.66823   0.14530  -0.94264   0.12911  
      	     	          	           	          	           	             	                                      	 0.04617   0.71807   0.19790  -0.96214  
  #21	15   	-6318.21686	Yes        	4        	0.660    	0.145    	 0.25496   0.21107   0.31791   0.21606	-1.11332   0.23838   0.82516   0.04978  
      	     	          	           	          	           	             	                                      	 0.28796  -1.18672   0.24749   0.65128  
      	     	          	           	          	           	             	                                      	 0.66177   0.16431  -0.90927   0.08319  
      	     	          	           	          	           	             	                                      	 0.05874   0.63623   0.12240  -0.81737  
  #22	15   	-6386.02097	Yes        	4        	0.655    	0.149    	 0.25300   0.22506   0.32304   0.19889	-1.08792   0.21541   0.86536   0.00714  
      	     	          	           	          	           	             	                                      	 0.24216  -1.09701   0.20217   0.65269  
      	     	          	           	          	           	             	                                      	 0.67775   0.14085  -0.91875   0.10016  
      	     	          	           	          	           	             	                                      	 0.00909   0.73858   0.16268  -0.91034  
  #23	15   	-6203.92995	Yes        	4        	0.609    	0.152    	 0.23819   0.20388   0.34028   0.21765	-1.20895   0.31544   0.82310   0.07042  
      	     	          	           	          	           	             	                                      	 0.36853  -1.27608   0.25049   0.65706  
      	     	          	           	          	           	             	                                      	 0.57615   0.15008  -0.80561   0.07938  
      	     	          	           	          	           	             	                                      	 0.07706   0.61547   0.12410  -0.81664  
  #24	15   	-6411.34727	Yes        	4        	0.633    	0.098    	 0.28272   0.22417   0.30705   0.18606	-0.96907   0.19784   0.74408   0.02715  
      	     	          	           	          	           	             	                                      	 0.24950  -1.08401   0.25680   0.57771  
      	     	          	           	          	           	             	                                      	 0.68512   0.18748  -0.99946   0.12686  
      	     	          	           	          	           	             	                                      	 0.04126   0.69606   0.20935  -0.94667  
  #25	15   	-6154.17526	Yes        	4        	0.640    	0.134    	 0.26953   0.20559   0.30871   0.21617	-1.03465   0.18303   0.80830   0.04332  
      	     	          	           	          	           	             	                                      	 0.23996  -1.14467   0.23461   0.67010  
      	     	          	           	          	           	             	                                      	 0.70571   0.15624  -0.97576   0.11381  
      	     	          	           	          	           	             	                                      	 0.05402   0.63728   0.16253  -0.85383  
  #26	15   	-6261.18515	Yes        	4        	0.611    	0.105    	 0.23221   0.25205   0.32451   0.19123	-1.09790   0.22599   0.81762   0.05429  
      	     	          	           	          	           	             	                                      	 0.20820  -1.05560   0.22728   0.62012  
      	     	          	           	          	           	             	                                      	 0.58506   0.17654  -0.85858   0.09697  
      	     	          	           	          	           	             	                                      	 0.06592   0.81734   0.16456  -1.04782  
  #27	15   	-6339.23799	Yes        	4        	0.639    	0.134    	 0.25512   0.22054   0.31668   0.20766	-1.06298   0.27368   0.74333   0.04597  
      	     	          	           	          	           	             	                                      	 0.31659  -1.23551   0.26409   0.65483  
      	     	          	           	          	           	             	                                      	 0.59883   0.18392  -0.86533   0.08258  
      	     	          	           	          	           	             	                                      	 0.05648   0.69546   0.12594  -0.87788  
  #28	15   	-6008.81172	Yes        	4        	0.639    	0.162    	 0.24406   0.22735   0.33697   0.19162	-1.17177   0.20832   0.90111   0.06234  
      	     	          	           	          	           	             	                                      	 0.22363  -1.03803   0.19371   0.62069  
      	     	          	           	          	           	             	                                      	 0.65264   0.13069  -0.86901   0.08567  
      	     	          	           	          	           	             	                                      	 0.07939   0.73641   0.15065  -0.96646  
  #29	15   	-6131.71161	Yes        	4        	0.599    	0.168    	 0.25705   0.24423   0.31179   0.18693	-1.06264   0.20378   0.82600   0.03286  
      	     	          	           	          	           	             	                                      	 0.21448  -1.00349   0.18014   0.60888  
      	     	          	           	          	           	             	                                      	 0.68097   0.14110  -0.93160   0.10952  
      	     	          	           	          	           	             	                                      	 0.04518   0.79553   0.18268  -1.02340  
  #30	15   	-6105.12326	Yes        	4        	0.593    	0.201    	 0.26825   0.23090   0.30852   0.19234	-1.05119   0.15723   0.86572   0.02824  
      	     	          	           	          	           	             	                                      	 0.18267  -1.00301   0.26493   0.55541  
      	     	          	           	          	           	             	                                      	 0.75272   0.19828  -1.04371   0.09272  
      	     	          	           	          	           	             	                                      	 0.03938   0.66678   0.14872  -0.85488  
  #31	15   	-6097.16672	Yes        	4        	0.628    	0.223    	 0.26765   0.22514   0.29599   0.21121	-1.08955   0.22873   0.81403   0.04679  
      	     	          	           	          	           	             	                                      	 0.27191  -1.07044   0.20164   0.59689  
      	     	          	           	          	           	             	                                      	 0.73609   0.15338  -0.98608   0.09661  
      	     	          	           	          	           	             	                                      	 0.05930   0.63625   0.13539  -0.83094  
  #32	15   	-6214.87361	Yes        	4        	0.591    	0.176    	 0.25005   0.22441   0.31360   0.21195	-1.08385   0.23197   0.80828   0.04360  
      	     	          	           	          	           	             	                                      	 0.25848  -1.14680   0.23170   0.65662  
      	     	          	           	          	           	             	                                      	 0.64448   0.16580  -0.90481   0.09452  
      	     	          	           	          	           	             	                                      	 0.05144   0.69520   0.13985  -0.88649  
  #33	15   	-6659.47564	Yes        	4        	0.480    	0.092    	 0.26125   0.22825   0.30257   0.20793	-1.07083   0.18655   0.84264   0.04164  
      	     	          	           	          	           	             	                                      	 0.21351  -1.17077   0.37821   0.57905  
      	     	          	           	          	           	             	                                      	 0.72754   0.28531  -1.01864   0.00579  
      	     	          	           	          	           	             	                                      	 0.05232   0.63567   0.00843  -0.69641  
  #34	15   	-6300.87321	Yes        	4        	0.571    	0.165    	 0.27124   0.21020   0.32863   0.18993	-1.09545   0.20725   0.81472   0.07349  
      	     	          	           	          	           	             	                                      	 0.26743  -1.13447   0.25330   0.61374  
      	     	          	           	          	           	             	                                      	 0.67244   0.16202  -0.89721   0.06275  
      	     	          	           	          	           	             	                                      	 0.10495   0.67922   0.10856  -0.89273  
  #35	15   	-6386.09945	Yes        	4        	0.616    	0.134    	 0.25247   0.23828   0.33624   0.17302	-1.02565   0.18061   0.81000   0.03504  
      	     	          	           	          	           	             	                                      	 0.19136  -1.06212   0.27117   0.59959  
      	     	          	           	          	           	             	                                      	 0.60819   0.19217  -0.90022   0.09985  
      	     	          	           	          	           	             	                                      	 0.05113   0.82575   0.19405  -1.07093  
  #36	15   	-6618.09985	Yes        	4        	0.657    	0.156    	 0.24400   0.23553   0.32417   0.19630	-1.05179   0.24726   0.74720   0.05733  
      	     	          	           	          	           	             	                                      	 0.25615  -1.16782   0.25642   0.65525  
      	     	          	           	          	           	             	                                      	 0.56240   0.18630  -0.83705   0.08834  
      	     	          	           	          	           	             	                                      	 0.07126   0.78622   0.14589  -1.00338  
  #37	15   	-6426.10191	Yes        	4        	0.560    	0.090    	 0.27458   0.23077   0.29493   0.19972	-1.01552   0.20056   0.77119   0.04376  
      	     	          	           	          	           	             	                                      	 0.23864  -1.05393   0.16796   0.64733  
      	     	          	           	          	           	             	                                      	 0.71797   0.13142  -0.96133   0.11195  
      	     	          	           	          	           	             	                                      	 0.06017   0.74797   0.16532  -0.97345  
  #38	15   	-6348.15567	Yes        	4        	0.665    	0.155    	 0.25239   0.22777   0.30967   0.21016	-1.09981   0.23334   0.83212   0.03434  
      	     	          	           	          	           	             	                                      	 0.25856  -1.13526   0.25462   0.62208  
      	     	          	           	          	           	             	                                      	 0.67821   0.18728  -0.93889   0.07340  
      	     	          	           	          	           	             	                                      	 0.04124   0.67421   0.10815  -0.82360  
  #39	15   	-6346.47935	Yes        	4        	0.714    	0.182    	 0.25391   0.19523   0.32647   0.22439	-1.03583   0.24005   0.77473   0.02105  
      	     	          	           	          	           	             	                                      	 0.31221  -1.36837   0.25823   0.79793  
      	     	          	           	          	           	             	                                      	 0.60253   0.15442  -0.85129   0.09434  
      	     	          	           	          	           	             	                                      	 0.02382   0.69424   0.13726  -0.85532  
  #40	15   	-6295.71944	Yes        	4        	0.606    	0.164    	 0.26968   0.22217   0.30432   0.20382	-0.94683   0.22488   0.68093   0.04102  
