. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6A_aln1_NT.trim1_1071.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.01971   0.77697   0.20828  -1.00496  
  #16	10   	-5192.82273	Yes        	4        	1.882    	0.129    	 0.17615   0.24333   0.36999   0.21054	-1.27503   0.29854   0.90174   0.07475  
      	     	          	           	          	           	             	                                      	 0.21612  -1.14201   0.34577   0.58013  
      	     	          	           	          	           	             	                                      	 0.42930   0.22740  -0.79214   0.13544  
      	     	          	           	          	           	             	                                      	 0.06254   0.67048   0.23802  -0.97104  
  #17	10   	-5266.05568	Yes        	4        	1.744    	0.120    	 0.19387   0.27312   0.34826   0.18475	-1.32989   0.35483   0.87535   0.09972  
      	     	          	           	          	           	             	                                      	 0.25187  -1.01602   0.26918   0.49497  
      	     	          	           	          	           	             	                                      	 0.48728   0.21110  -0.79449   0.09611  
      	     	          	           	          	           	             	                                      	 0.10464   0.73172   0.18117  -1.01753  
  #18	10   	-5147.06959	Yes        	4        	1.058    	0.052    	 0.18183   0.27581   0.36788   0.17449	-1.22613   0.29983   0.86356   0.06274  
      	     	          	           	          	           	             	                                      	 0.19767  -1.04391   0.27703   0.56921  
      	     	          	           	          	           	             	                                      	 0.42682   0.20770  -0.75319   0.11867  
      	     	          	           	          	           	             	                                      	 0.06538   0.89972   0.25019  -1.21530  
  #19	10   	-5314.25648	Yes        	4        	1.180    	0.068    	 0.18724   0.26049   0.34738   0.20490	-1.17925   0.26709   0.84031   0.07185  
      	     	          	           	          	           	             	                                      	 0.19198  -1.08800   0.29029   0.60572  
      	     	          	           	          	           	             	                                      	 0.45292   0.21768  -0.80245   0.13185  
      	     	          	           	          	           	             	                                      	 0.06566   0.77005   0.22354  -1.05925  
  #20	10   	-5078.62899	Yes        	4        	0.810    	0.000    	 0.16238   0.26448   0.38476   0.18838	-1.47674   0.34421   1.01802   0.11450  
      	     	          	           	          	           	             	                                      	 0.21134  -1.04613   0.26301   0.57178  
      	     	          	           	          	           	             	                                      	 0.42965   0.18079  -0.71288   0.10244  
      	     	          	           	          	           	             	                                      	 0.09870   0.80278   0.20924  -1.11072  
  #21	10   	-5363.10810	Yes        	4        	1.053    	0.050    	 0.19008   0.25211   0.36356   0.19425	-1.29825   0.29157   0.92567   0.08102  
      	     	          	           	          	           	             	                                      	 0.21983  -1.03229   0.29727   0.51519  
      	     	          	           	          	           	             	                                      	 0.48397   0.20614  -0.82324   0.13313  
      	     	          	           	          	           	             	                                      	 0.07927   0.66864   0.24915  -0.99707  
  #22	10   	-5275.96517	Yes        	4        	1.679    	0.186    	 0.18239   0.26232   0.36725   0.18804	-1.22368   0.32471   0.80695   0.09201  
      	     	          	           	          	           	             	                                      	 0.22576  -1.16339   0.30897   0.62866  
      	     	          	           	          	           	             	                                      	 0.40075   0.22069  -0.70547   0.08402  
      	     	          	           	          	           	             	                                      	 0.08925   0.87701   0.16410  -1.13035  
  #23	10   	-4943.36761	Yes        	4        	0.857    	0.026    	 0.16076   0.25274   0.39100   0.19550	-1.52661   0.26017   1.14173   0.12470  
      	     	          	           	          	           	             	                                      	 0.16549  -1.01504   0.31635   0.53321  
      	     	          	           	          	           	             	                                      	 0.46941   0.20448  -0.77587   0.10198  
      	     	          	           	          	           	             	                                      	 0.10254   0.68930   0.20396  -0.99580  
  #24	10   	-5020.78691	Yes        	4        	1.707    	0.202    	 0.17090   0.27567   0.35843   0.19500	-1.34332   0.35095   0.93555   0.05683  
      	     	          	           	          	           	             	                                      	 0.21757  -1.04945   0.24595   0.58593  
      	     	          	           	          	           	             	                                      	 0.44607   0.18916  -0.74990   0.11467  
      	     	          	           	          	           	             	                                      	 0.04980   0.82833   0.21078  -1.08891  
  #25	10   	-5055.95632	Yes        	4        	1.559    	0.115    	 0.18783   0.25101   0.37233   0.18884	-1.28279   0.26196   0.92454   0.09629  
      	     	          	           	          	           	             	                                      	 0.19603  -1.03064   0.27211   0.56250  
      	     	          	           	          	           	             	                                      	 0.46640   0.18345  -0.78296   0.13311  
      	     	          	           	          	           	             	                                      	 0.09578   0.74770   0.26246  -1.10594  
