. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA8A_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	15   	-10211.36725	Yes        	4        	1.042    	0.049    	 0.24795   0.26506   0.31987   0.16712	-1.10059   0.22283   0.79907   0.07869  
      	     	          	           	          	           	             	                                      	 0.20844  -0.92606   0.21029   0.50733  
      	     	          	           	          	           	             	                                      	 0.61941   0.17426  -0.90901   0.11534  
      	     	          	           	          	           	             	                                      	 0.11675   0.80467   0.22078  -1.14220  
  #17	15   	-10002.39710	Yes        	4        	0.880    	0.000    	 0.23599   0.26805   0.31668   0.17928	-1.09489   0.21454   0.79353   0.08682  
      	     	          	           	          	           	             	                                      	 0.18888  -0.96171   0.24621   0.52662  
      	     	          	           	          	           	             	                                      	 0.59133   0.20840  -0.90856   0.10882  
      	     	          	           	          	           	             	                                      	 0.11429   0.78737   0.19222  -1.09387  
  #18	15   	-10204.10316	Yes        	4        	1.289    	0.064    	 0.25383   0.26301   0.33328   0.14988	-1.04438   0.23877   0.73990   0.06571  
      	     	          	           	          	           	             	                                      	 0.23044  -0.97108   0.23293   0.50771  
      	     	          	           	          	           	             	                                      	 0.56351   0.18381  -0.86768   0.12035  
      	     	          	           	          	           	             	                                      	 0.11128   0.89092   0.26762  -1.26982  
  #19	15   	-10302.60061	Yes        	4        	1.118    	0.031    	 0.26915   0.23894   0.31705   0.17486	-0.96471   0.16428   0.73360   0.06683  
      	     	          	           	          	           	             	                                      	 0.18505  -1.02614   0.25644   0.58465  
      	     	          	           	          	           	             	                                      	 0.62277   0.19326  -0.94023   0.12420  
      	     	          	           	          	           	             	                                      	 0.10287   0.79891   0.22520  -1.12698  
  #20	15   	-10558.03753	Yes        	4        	1.423    	0.057    	 0.25228   0.25161   0.31745   0.17866	-1.04589   0.20427   0.76905   0.07257  
      	     	          	           	          	           	             	                                      	 0.20481  -0.98263   0.22535   0.55247  
      	     	          	           	          	           	             	                                      	 0.61117   0.17861  -0.91715   0.12737  
      	     	          	           	          	           	             	                                      	 0.10248   0.77808   0.22632  -1.10688  
