. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_MOAP1_aln2_NT.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #16	14   	-6767.96641	Yes        	4        	1.674    	0.062    	 0.27651   0.20869   0.31774   0.19707	-1.11728   0.19711   0.73821   0.18196  
      	     	          	           	          	           	             	                                      	 0.26116  -1.03962   0.17805   0.60041  
      	     	          	           	          	           	             	                                      	 0.64242   0.11694  -0.84942   0.09005  
      	     	          	           	          	           	             	                                      	 0.25530   0.63579   0.14519  -1.03627  
  #17	14   	-6600.53568	Yes        	4        	2.611    	0.165    	 0.27750   0.21727   0.28177   0.22346	-1.01412   0.15843   0.69690   0.15878  
      	     	          	           	          	           	             	                                      	 0.20236  -1.04197   0.18331   0.65630  
      	     	          	           	          	           	             	                                      	 0.68635   0.14135  -0.95602   0.12833  
      	     	          	           	          	           	             	                                      	 0.19718   0.63811   0.16181  -0.99710  
  #18	14   	-6628.96418	Yes        	4        	1.515    	0.000    	 0.27918   0.20061   0.28939   0.23082	-0.96058   0.18318   0.64750   0.12990  
      	     	          	           	          	           	             	                                      	 0.25493  -1.25397   0.16997   0.82908  
      	     	          	           	          	           	             	                                      	 0.62467   0.11783  -0.85101   0.10851  
      	     	          	           	          	           	             	                                      	 0.15712   0.72058   0.13605  -1.01375  
  #19	14   	-6809.47856	Yes        	4        	1.792    	0.078    	 0.27560   0.20429   0.29690   0.22322	-1.10111   0.19180   0.76625   0.14306  
      	     	          	           	          	           	             	                                      	 0.25875  -1.06234   0.17175   0.63184  
      	     	          	           	          	           	             	                                      	 0.71127   0.11818  -0.93849   0.10905  
      	     	          	           	          	           	             	                                      	 0.17662   0.57826   0.14504  -0.89992  
  #20	14   	-6611.94238	Yes        	4        	1.300    	0.000    	 0.27684   0.19368   0.30858   0.22090	-0.99793   0.15497   0.72775   0.11521  
      	     	          	           	          	           	             	                                      	 0.22150  -1.17112   0.23281   0.71681  
      	     	          	           	          	           	             	                                      	 0.65289   0.14612  -0.92802   0.12901  
      	     	          	           	          	           	             	                                      	 0.14439   0.62849   0.18023  -0.95311  
  #21	14   	-6794.43426	Yes        	4        	1.903    	0.026    	 0.28976   0.20466   0.28832   0.21727	-0.97211   0.21541   0.63835   0.11835  
      	     	          	           	          	           	             	                                      	 0.30498  -1.23622   0.22591   0.70534  
      	     	          	           	          	           	             	                                      	 0.64154   0.16036  -0.89810   0.09620  
      	     	          	           	          	           	             	                                      	 0.15784   0.66441   0.12766  -0.94990  
  #22	14   	-6680.91804	Yes        	4        	1.803    	0.079    	 0.28612   0.18756   0.29112   0.23520	-1.03249   0.16528   0.70901   0.15820  
      	     	          	           	          	           	             	                                      	 0.25215  -1.13072   0.23453   0.64404  
      	     	          	           	          	           	             	                                      	 0.69684   0.15110  -0.98463   0.13670  
      	     	          	           	          	           	             	                                      	 0.19246   0.51359   0.16921  -0.87525  
  #23	14   	-6649.50458	Yes        	4        	1.262    	0.000    	 0.26320   0.21406   0.30780   0.21494	-1.09511   0.23528   0.72921   0.13062  
      	     	          	           	          	           	             	                                      	 0.28929  -1.12678   0.17895   0.65854  
      	     	          	           	          	           	             	                                      	 0.62355   0.12445  -0.85357   0.10557  
      	     	          	           	          	           	             	                                      	 0.15994   0.65584   0.15118  -0.96697  
  #24	14   	-6760.34918	Yes        	4        	1.537    	0.085    	 0.26820   0.21319   0.29488   0.22373	-1.06743   0.20616   0.71598   0.14529  
      	     	          	           	          	           	             	                                      	 0.25936  -1.06870   0.20192   0.60743  
      	     	          	           	          	           	             	                                      	 0.65119   0.14598  -0.93679   0.13963  
      	     	          	           	          	           	             	                                      	 0.17417   0.57882   0.18403  -0.93702  
  #25	14   	-6795.02306	Yes        	4        	1.552    	0.000    	 0.28738   0.19855   0.29986   0.21421	-1.01764   0.17182   0.69676   0.14906  
      	     	          	           	          	           	             	                                      	 0.24869  -1.12309   0.19200   0.68240  
      	     	          	           	          	           	             	                                      	 0.66775   0.12713  -0.90806   0.11318  
      	     	          	           	          	           	             	                                      	 0.19999   0.63253   0.15843  -0.99094  
  #26	14   	-6828.32779	Yes        	4        	1.478    	0.043    	 0.25628   0.21710   0.30383   0.22279	-1.04349   0.20539   0.67732   0.16078  
      	     	          	           	          	           	             	                                      	 0.24246  -1.14328   0.19657   0.70426  
      	     	          	           	          	           	             	                                      	 0.57132   0.14045  -0.83358   0.12180  
      	     	          	           	          	           	             	                                      	 0.18494   0.68626   0.16611  -1.03730  
  #27	14   	-6576.77467	Yes        	4        	3.054    	0.118    	 0.27308   0.20615   0.29943   0.22134	-1.09831   0.19561   0.76699   0.13571  
      	     	          	           	          	           	             	                                      	 0.25912  -1.06340   0.21984   0.58444  
      	     	          	           	          	           	             	                                      	 0.69949   0.15135  -0.96531   0.11446  
      	     	          	           	          	           	             	                                      	 0.16743   0.54432   0.15484  -0.86659  
  #28	14   	-6835.07933	Yes        	4        	1.380    	0.000    	 0.27282   0.18666   0.31727   0.22325	-1.04501   0.20895   0.68484   0.15123  
      	     	          	           	          	           	             	                                      	 0.30540  -1.28520   0.26180   0.71800  
      	     	          	           	          	           	             	                                      	 0.58890   0.15403  -0.84382   0.10089  
      	     	          	           	          	           	             	                                      	 0.18480   0.60031   0.14338  -0.92849  
  #29	14   	-6633.83392	Yes        	4        	1.372    	0.000    	 0.26593   0.21910   0.28193   0.23305	-1.09550   0.20917   0.71696   0.16937  
      	     	          	           	          	           	             	                                      	 0.25388  -1.04479   0.16955   0.62136  
      	     	          	           	          	           	             	                                      	 0.67628   0.13177  -0.93356   0.12551  
      	     	          	           	          	           	             	                                      	 0.19327   0.58418   0.15184  -0.92929  
  #30	14   	-6857.32369	Yes        	4        	1.594    	0.000    	 0.28904   0.18039   0.32067   0.20990	-0.99483   0.17492   0.66663   0.15329  
      	     	          	           	          	           	             	                                      	 0.28027  -1.23333   0.22150   0.73157  
      	     	          	           	          	           	             	                                      	 0.60087   0.12461  -0.85187   0.12638  
      	     	          	           	          	           	             	                                      	 0.21108   0.62873   0.19308  -1.03289  
  #31	14   	-6780.58415	Yes        	4        	2.357    	0.115    	 0.25656   0.20396   0.29228   0.24720	-1.08230   0.16604   0.76234   0.15392  
      	     	          	           	          	           	             	                                      	 0.20886  -1.10611   0.23425   0.66299  
      	     	          	           	          	           	             	                                      	 0.66916   0.16347  -0.96717   0.13454  
      	     	          	           	          	           	             	                                      	 0.15975   0.54703   0.15908  -0.86585  
  #32	14   	-6919.94992	Yes        	4        	3.344    	0.140    	 0.28736   0.19598   0.29288   0.22378	-1.04155   0.18065   0.70318   0.15773  
      	     	          	           	          	           	             	                                      	 0.26489  -1.08797   0.17880   0.64428  
      	     	          	           	          	           	             	                                      	 0.68992   0.11965  -0.94407   0.13450  
      	     	          	           	          	           	             	                                      	 0.20254   0.56424   0.17603  -0.94280  
  #33	14   	-6723.48543	Yes        	4        	2.043    	0.138    	 0.25490   0.20824   0.29726   0.23960	-1.12287   0.14061   0.81695   0.16531  
      	     	          	           	          	           	             	                                      	 0.17211  -1.01174   0.19436   0.64526  
      	     	          	           	          	           	             	                                      	 0.70054   0.13616  -0.96768   0.13098  
      	     	          	           	          	           	             	                                      	 0.17587   0.56081   0.16250  -0.89918  
  #34	14   	-6383.47404	Yes        	4        	1.254    	0.000    	 0.25779   0.20073   0.30667   0.23480	-1.05082   0.18240   0.72499   0.14344  
      	     	          	           	          	           	             	                                      	 0.23424  -1.19249   0.22530   0.73294  
      	     	          	           	          	           	             	                                      	 0.60942   0.14747  -0.87675   0.11986  
      	     	          	           	          	           	             	                                      	 0.15748   0.62660   0.15654  -0.94062  
  #35	14   	-6491.83685	Yes        	4        	1.720    	0.128    	 0.28521   0.18282   0.29730   0.23467	-1.00149   0.18074   0.68182   0.13893  
      	     	          	           	          	           	             	                                      	 0.28197  -1.27560   0.24878   0.74485  
      	     	          	           	          	           	             	                                      	 0.65408   0.15298  -0.91710   0.11004  
      	     	          	           	          	           	             	                                      	 0.16884   0.58026   0.13941  -0.88852  
  #36	14   	-6684.66330	Yes        	4        	2.182    	0.075    	 0.26573   0.20246   0.29199   0.23981	-1.03219   0.19349   0.67907   0.15962  
      	     	          	           	          	           	             	                                      	 0.25396  -1.17352   0.23547   0.68409  
      	     	          	           	          	           	             	                                      	 0.61800   0.16327  -0.91668   0.13541  
      	     	          	           	          	           	             	                                      	 0.17688   0.57754   0.16487  -0.91929  
  #37	14   	-6531.62709	Yes        	4        	1.203    	0.000    	 0.29601   0.18849   0.28618   0.22931	-1.04228   0.19532   0.69351   0.15345  
      	     	          	           	          	           	             	                                      	 0.30673  -1.17478   0.17995   0.68809  
      	     	          	           	          	           	             	                                      	 0.71733   0.11852  -0.93319   0.09733  
      	     	          	           	          	           	             	                                      	 0.19808   0.56559   0.12147  -0.88514  
  #38	14   	-6811.10505	Yes        	4        	1.595    	0.080    	 0.27557   0.20336   0.29623   0.22484	-1.05490   0.20200   0.71214   0.14076  
      	     	          	           	          	           	             	                                      	 0.27372  -1.13473   0.20083   0.66018  
      	     	          	           	          	           	             	                                      	 0.66250   0.13787  -0.91582   0.11545  
      	     	          	           	          	           	             	                                      	 0.17252   0.59714   0.15211  -0.92176  
