. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_PNMA6EF_aln1_NT.trim1024_1527.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.11223   1.10296   0.20162  -1.41681  
  #16	12   	-2720.49420	Yes        	4        	1.598    	0.158    	 0.18601   0.25446   0.39583   0.16369	-1.26883   0.15275   1.02550   0.09058  
      	     	          	           	          	           	             	                                      	 0.11166  -1.00799   0.27291   0.62343  
      	     	          	           	          	           	             	                                      	 0.48191   0.17544  -0.74804   0.09069  
      	     	          	           	          	           	             	                                      	 0.10293   0.96914   0.21930  -1.29138  
  #17	12   	-2830.59726	Yes        	4        	1.006    	0.001    	 0.19233   0.27286   0.35026   0.18455	-1.16708   0.20812   0.86531   0.09365  
      	     	          	           	          	           	             	                                      	 0.14669  -1.03450   0.25391   0.63389  
      	     	          	           	          	           	             	                                      	 0.47515   0.19781  -0.76800   0.09504  
      	     	          	           	          	           	             	                                      	 0.09759   0.93721   0.18038  -1.21518  
  #18	12   	-2567.12156	Yes        	4        	1.312    	0.122    	 0.18852   0.28957   0.35869   0.16322	-1.37453   0.31554   0.95371   0.10529  
      	     	          	           	          	           	             	                                      	 0.20543  -0.96478   0.23340   0.52594  
      	     	          	           	          	           	             	                                      	 0.50126   0.18842  -0.74820   0.05851  
      	     	          	           	          	           	             	                                      	 0.12161   0.93306   0.12859  -1.18325  
  #19	12   	-2642.25578	Yes        	4        	1.135    	0.000    	 0.16917   0.27849   0.37589   0.17645	-1.43834   0.32326   1.05106   0.06403  
      	     	          	           	          	           	             	                                      	 0.19637  -1.04756   0.26717   0.58402  
      	     	          	           	          	           	             	                                      	 0.47305   0.19794  -0.72320   0.05221  
      	     	          	           	          	           	             	                                      	 0.06139   0.92173   0.11123  -1.09435  
  #20	12   	-2618.90375	Yes        	4        	0.804    	0.026    	 0.18455   0.23582   0.39656   0.18307	-1.52627   0.18222   1.21087   0.13317  
      	     	          	           	          	           	             	                                      	 0.14261  -0.93995   0.30100   0.49634  
      	     	          	           	          	           	             	                                      	 0.56353   0.17899  -0.81891   0.07639  
      	     	          	           	          	           	             	                                      	 0.13425   0.63937   0.16548  -0.93910  
  #21	12   	-2654.51481	Yes        	4        	0.780    	0.073    	 0.19974   0.25182   0.37500   0.17345	-1.42057   0.16146   1.13426   0.12485  
      	     	          	           	          	           	             	                                      	 0.12806  -0.89705   0.27433   0.49466  
      	     	          	           	          	           	             	                                      	 0.60414   0.18422  -0.84867   0.06031  
      	     	          	           	          	           	             	                                      	 0.14377   0.71817   0.13039  -0.99234  
  #22	12   	-2817.10197	Yes        	4        	0.877    	0.024    	 0.17675   0.29530   0.35499   0.17295	-1.33634   0.25289   1.02997   0.05347  
      	     	          	           	          	           	             	                                      	 0.15137  -0.91538   0.17568   0.58834  
      	     	          	           	          	           	             	                                      	 0.51283   0.14614  -0.76652   0.10756  
      	     	          	           	          	           	             	                                      	 0.05465   1.00456   0.22077  -1.27998  
  #23	12   	-2622.65433	Yes        	4        	0.736    	0.068    	 0.18519   0.29382   0.34937   0.17163	-1.40583   0.24473   1.03643   0.12467  
      	     	          	           	          	           	             	                                      	 0.15425  -0.91522   0.20321   0.55776  
