. Sequence file : [PNMAseqsToAlign3.fa.nonRedundant.group_PNMA_CCDC8_aln1_NT.addGroupNames.degap_0.3.fa.phyml]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.19008   1.16962   0.26239  -1.62209  
  #16	16   	-9898.49634	Yes        	4        	1.337    	0.210    	 0.23298   0.28991   0.34603   0.13108	-1.04148   0.23254   0.73504   0.07391  
      	     	          	           	          	           	             	                                      	 0.18688  -0.99165   0.25834   0.54643  
      	     	          	           	          	           	             	                                      	 0.49491   0.21644  -0.78083   0.06948  
      	     	          	           	          	           	             	                                      	 0.13136   1.20853   0.18341  -1.52330  
  #17	16   	-9983.70486	Yes        	4        	2.453    	0.272    	 0.24345   0.26717   0.34627   0.14311	-0.95974   0.21848   0.65849   0.08278  
      	     	          	           	          	           	             	                                      	 0.19907  -1.08319   0.28008   0.60404  
      	     	          	           	          	           	             	                                      	 0.46295   0.21610  -0.76610   0.08705  
      	     	          	           	          	           	             	                                      	 0.14082   1.12768   0.21062  -1.47913  
  #18	16   	-10015.76919	Yes        	4        	1.623    	0.231    	 0.22183   0.27810   0.36494   0.13513	-1.06923   0.26641   0.73710   0.06572  
      	     	          	           	          	           	             	                                      	 0.21250  -1.05508   0.23199   0.61059  
      	     	          	           	          	           	             	                                      	 0.44806   0.17679  -0.70291   0.07806  
      	     	          	           	          	           	             	                                      	 0.10788   1.25665   0.21081  -1.57535  
  #19	16   	-9903.98329	Yes        	4        	2.909    	0.280    	 0.23462   0.27721   0.35623   0.13194	-0.98975   0.20164   0.69311   0.09500  
      	     	          	           	          	           	             	                                      	 0.17066  -1.02479   0.25957   0.59456  
      	     	          	           	          	           	             	                                      	 0.45649   0.20199  -0.74554   0.08706  
      	     	          	           	          	           	             	                                      	 0.16893   1.24916   0.23505  -1.65315  
  #20	16   	-9878.73619	Yes        	4        	2.689    	0.296    	 0.23262   0.26003   0.37924   0.12812	-1.09696   0.22144   0.78593   0.08960  
      	     	          	           	          	           	             	                                      	 0.19809  -1.01884   0.24974   0.57101  
      	     	          	           	          	           	             	                                      	 0.48206   0.17123  -0.73612   0.08283  
      	     	          	           	          	           	             	                                      	 0.16268   1.15894   0.24520  -1.56683  
  #21	16   	-9966.66712	Yes        	4        	3.024    	0.306    	 0.24744   0.26067   0.36806   0.12383	-1.02850   0.19474   0.74251   0.09124  
      	     	          	           	          	           	             	                                      	 0.18486  -1.03297   0.26966   0.57845  
      	     	          	           	          	           	             	                                      	 0.49917   0.19098  -0.75653   0.06638  
      	     	          	           	          	           	             	                                      	 0.18233   1.21772   0.19730  -1.59734  
  #22	16   	-9982.61144	Yes        	4        	2.797    	0.251    	 0.23374   0.26440   0.37031   0.13155	-1.04315   0.20583   0.72662   0.11070  
      	     	          	           	          	           	             	                                      	 0.18196  -1.04552   0.23217   0.63139  
      	     	          	           	          	           	             	                                      	 0.45865   0.16577  -0.69961   0.07519  
      	     	          	           	          	           	             	                                      	 0.19669   1.26905   0.21167  -1.67742  
  #23	16   	-10273.63503	Yes        	4        	2.125    	0.252    	 0.24220   0.26231   0.35856   0.13693	-1.03912   0.22984   0.74612   0.06316  
      	     	          	           	          	           	             	                                      	 0.21223  -1.05223   0.25352   0.58648  
      	     	          	           	          	           	             	                                      	 0.50399   0.18546  -0.76749   0.07804  
      	     	          	           	          	           	             	                                      	 0.11172   1.12351   0.20437  -1.43960  
  #24	16   	-10215.75121	Yes        	4        	1.778    	0.222    	 0.23866   0.25665   0.36885   0.13584	-1.08667   0.21545   0.78703   0.08420  
      	     	          	           	          	           	             	                                      	 0.20035  -0.99825   0.23476   0.56315  
      	     	          	           	          	           	             	                                      	 0.50925   0.16335  -0.76985   0.09725  
